Rank	Name	Net Worth	Age	Source	Country of Citizenship
1121	Senapathy Gopalakrishnan	$1.6 B	61	software services	India
1121	Allan Gray	$1.6 B	79	money management	South Africa
1121	Alexandre Grendene Bartelle	$1.6 B	66	shoes	Brazil
1121	David Harding	$1.6 B	55	finance	United Kingdom
1121	Bill Haslam	$1.6 B	58	truck stops	United States
1121	Brian Higgins	$1.6 B	51	Hedge fund	United States
1121	Hu Kaijun	$1.6 B	55	pharmaceuticals	China
1121	Huo Qinghua	$1.6 B	55	coal	China
1121	Ravi Jaipuria	$1.6 B	62	soft drinks	India
1121	Jim Justice, II.	$1.6 B	65	coal	United States
1121	Alexander Karp	$1.6 B	49	software firm	United States
1121	Ke Xiping	$1.6 B	56	investments	China
1121	Suleiman Kerimov	$1.6 B	50	investments	Russia
1121	Karel Komarek	$1.6 B	47	oil and gas/lottery	Czech Republic
1121	Miguel Krigsner	$1.6 B	66	cosmetics	Brazil
1121	Willibert Krueger	$1.6 B	76	food processing	Germany
1121	Lau Cho Kun	$1.6 B	81	palm oil/real estate	Malaysia
1121	Lei Jufang	$1.6 B	63	pharmaceuticals	China
1121	Li Sze Lim	$1.6 B	59	real estate	Hong Kong
1121	Lim Oon Kuin	$1.6 B	73	oil trading	Singapore
1121	Lin Li	$1.6 B	53	investments	China
1121	Tianfu Lin	$1.6 B	54	footwear, apparel	Hong Kong
1121	Kenneth Lo	$1.6 B	78	Textiles	United Kingdom
1121	Lo Siu Yu	$1.6 B	47	conglomerate	Hong Kong
1121	Yusaku Maezawa	$1.6 B	41	online retail	Japan
1121	Satish Mehta	$1.6 B	66	Pharma	India
1121	Gary Michelson	$1.6 B	67	medical patents	United States
1121	Martin Moller Nielsen	$1.6 B	52	Nordic Aviation Capital	Denmark
1121	Martin Naughton	$1.6 B	77	heating equipment	Ireland
1121	Nandan Nilekani	$1.6 B	61	software services	India
1121	Or Wai Sheun	$1.6 B	65	real estate	Hong Kong
1121	Karsanbhai Patel	$1.6 B	72	consumer goods	India
1121	Stanley Perron	$1.6 B	94	property, retail	Australia
1121	Peter Peterson	$1.6 B	90	investments	United States
1121	Carlos Rodriguez-Pastor	$1.6 B	57	finance	Peru
1121	Kjell Inge Rokke	$1.6 B	58	shipping, seafood	Norway
1121	Eddy Kusnadi Sariaatmadja	$1.6 B	63	media, tech	Indonesia
1121	Thaksin Shinawatra	$1.6 B	67	investments	Thailand
1121	Mikail Shishkhanov	$1.6 B	44	oil, banking, real estate	Russia
1121	Ben Silbermann	$1.6 B	34	Pinterest	United States
1121	Charles Simonyi	$1.6 B	68	Microsoft	United States
1121	Thomas Steyer	$1.6 B	59	hedge funds	United States
1121	Henry Swieca	$1.6 B	59	hedge funds	United States
1121	Katsumi Tada	$1.6 B	71	real estate	Japan
1121	Tian Ming	$1.6 B	63	measuring instruments	China
1121	Robert Toennies	$1.6 B	38	meat processing	Germany
1121	Tsai Hong-tu	$1.6 B	64	finance	Taiwan
1121	Wang Zhenghua	$1.6 B	72	budget airline	China
1121	Charlotte Colket Weber	$1.6 B	74	Campbell Soup	United States
1121	Ian Wood	$1.6 B	74	energy services	United Kingdom
1121	Jon Yarbrough	$1.6 B	59	video games	United States
1121	Zan Shengda	$1.6 B	53	diversified	China
1121	Zhu Baoguo	$1.6 B	54	pharmaceuticals	China
1121	Zhu Xingliang	$1.6 B	57	construction	China
1198	Syed Mokhtar AlBukhary	$1.5 B	65	diversified	Malaysia
1198	Leslie Alexander	$1.5 B	73	Houston Rockets	United States
1198	Michael Ashcroft	$1.5 B	71	security	United Kingdom
1198	Nicolas Berggruen	$1.5 B	55	investments	United States
1198	Josef Boquoi	$1.5 B	83	frozen foods	Germany
1198	Jaime Botin	$1.5 B	80	banking	Spain
1198	Ron Burkle	$1.5 B	64	supermarkets, investments	United States
1198	Edouard Carmignac	$1.5 B	69	asset management	France
1198	Cho Tak Wong	$1.5 B	70	auto parts	Hong Kong
1198	Sarah MacMillan	$1.5 B	63	Cargill	United States
1198	Ciputra	$1.5 B	85	real estate	Indonesia
1198	Alexandra Daitch	$1.5 B	54	Cargill	United States
1198	John de Mol	$1.5 B	61	TV	Netherlands
1198	Richard Desmond	$1.5 B	65	publishing	United Kingdom
1198	Fang Tonghua	$1.5 B	54	pharmaceuticals	China
1198	John Farber	$1.5 B	91	chemicals	United States
1198	Alexander Frolov	$1.5 B	52	mining, steel	Russia
1198	Filaret Galchev	$1.5 B	53	construction materials	Russia
1198	Christopher Goldsbury	$1.5 B	74	salsa	United States
1198	David Gottesman	$1.5 B	90	investments	United States
1198	Ryan Graves	$1.5 B	33	Uber	United States
1198	Sait-Salam Gutseriev	$1.5 B	57	oil, banking, real estate	Russia
1198	Christoph Henkel	$1.5 B	58	consumer goods	Germany
1198	Alan Howard	$1.5 B	53	hedge funds	United Kingdom
1198	Huang Hongyun	$1.5 B	50	real estate	China
1198	Alijan Ibragimov	$1.5 B	63	mining, metals	Kazakhstan
1198	Jiang Zhaobai	$1.5 B	53	real estate	China
1198	George Joseph	$1.5 B	95	insurance	United States
1198	Vinod Khosla	$1.5 B	61	venture capital	United States
1198	Kim Nam-Jung	$1.5 B	44	Food	South Korea
1198	Vladimir Kim	$1.5 B	56	mining	Kazakhstan
1198	Li Li	$1.5 B	52	pharmaceuticals	China
1198	Wolfgang Leitner	$1.5 B	63	engineering	Austria
1198	Li Liufa	$1.5 B	59	steel, diversified	China
1198	Lin Jianhua	$1.5 B	54	solar panel components	China
1198	Ma Hong	$1.5 B	49	fashion retail	China
1198	Brandt Louie	$1.5 B	73	drug store chain	Canada
1198	Alexander Machkevich	$1.5 B	63	mining, metals	Israel
1198	Harsh Mariwala	$1.5 B	65	consumer goods	India
1198	Gilles Martin	$1.5 B	53	laboratory services	France
1198	Lorenzo Mendoza	$1.5 B	51	beverages	Venezuela
1198	P.N.C. Menon	$1.5 B	68	real estate	Oman
1198	Azad Moopen	$1.5 B	63	healthcare	India
1198	Robert Mouawad	$1.5 B	72	fine jewelry	Lebanon
1198	Ezra Nahmad	$1.5 B	71	art	Monaco
1198	Adam Neumann	$1.5 B	37	WeWork	Israel
1198	Ni Zugen	$1.5 B	59	appliances	China
1198	Neal Patterson	$1.5 B	67	health IT	United States
1198	David Penaloza Alanis	$1.5 B	43	toll roads	Mexico
1198	Gregorio Perez Companc	$1.5 B	81	oil and gas	Argentina
1198	H. Ross Perot, Jr.	$1.5 B	58	real estate	United States
1198	Qi Jinxing	$1.5 B	54	real estate	China
1198	Phillip Ragon	$1.5 B	67	health IT	United States
1198	Matthias Reinhart	$1.5 B	57	Finance	Germany
1198	Filiz Sahenk	$1.5 B	49	bank, media	Turkey
1198	Shi Yuzhu	$1.5 B	54	online games, investments	China
1198	Shuai Fangwen	$1.5 B	50	pharmaceuticals	China
1198	Jasminder Singh	$1.5 B	66	Hotels	United Kingdom
1198	Ralph Sonnenberg	$1.5 B	82	blinds	Netherlands
1198	Lucy Stitzer	$1.5 B	57	Cargill	United States
1198	Thomas Straumann	$1.5 B	53	dental implants	Switzerland
1198	Katherine Tanner	$1.5 B	61	Cargill	United States
1198	Jim Thompson	$1.5 B	76	logistics	United States
1198	Wichai Thongtang	$1.5 B	70	investments	Thailand
1198	Jitendra Virwani	$1.5 B	50	real estate	India
1198	Todd Wagner	$1.5 B	56	online media	United States
1198	Ronald Wanek	$1.5 B	75	furniture	United States
1198	Wang Jianfeng	$1.5 B	47	auto parts	China
1198	Wang Laichun	$1.5 B	49	electronics components	China
1198	Wang Laisheng	$1.5 B	52	electronics components	China
1198	Wen Yibo	$1.5 B	51	wastewater treatment	China
1198	Wong Man Li	$1.5 B	51	furniture	Hong Kong
1198	Jerry Yang	$1.5 B	48	Yahoo	United States
1198	William Young	$1.5 B	76	plastics	United States
1198	Charles Zegar	$1.5 B	68	Bloomberg LP	United States
1198	Zhang Desheng	$1.5 B	67	manufacturing	China
1198	Zhou Hongyi	$1.5 B	46	security software	China
1275	Soegiarto Adikoesoemo	$1.4 B	78	chemicals	Indonesia
1275	Farkhad Akhmedov	$1.4 B	61	natural gas	Russia
1275	Abdullah Al Rajhi	$1.4 B	-	banking	Saudi Arabia
1275	Herbert Allen, Jr.	$1.4 B	76	investment banking	United States
1275	Igor Altushkin	$1.4 B	46	metals	Russia
1275	Koos Bekker	$1.4 B	64	media, investments	South Africa
1275	Bernhard Braun-Luedicke	$1.4 B	40	medical technology	Germany
1275	Eva Maria Braun-Luedicke	$1.4 B	30	medical technology	Germany
1275	Friederike Braun-Luedicke	$1.4 B	33	medical technologies	Germany
1275	Vivek Chand Burman	$1.4 B	79	consumer goods	India
1275	Mike Cannon-Brookes	$1.4 B	37	business software	Australia
1275	Chan Tan Ching-fen	$1.4 B	-	real estate	Hong Kong
1275	Chen Yung-Tai	$1.4 B	81	real estate	Taiwan
1275	Patokh Chodiev	$1.4 B	64	mining, metals	Belgium
1275	Christopher Cline	$1.4 B	58	coal	United States
1275	Mark Coombs	$1.4 B	56	finance	United Kingdom
1275	Jack Cowin	$1.4 B	74	fast food	Australia
1275	Luigi Cremonini	$1.4 B	77	meat processing	Italy
1275	Darwin Deason	$1.4 B	76	Xerox	United States
1275	Bulent Eczacibasi	$1.4 B	67	pharmaceuticals, diversified	Turkey
1275	Faruk Eczacibasi	$1.4 B	62	pharmaceuticals, diversified	Turkey
1275	David Einhorn	$1.4 B	48	hedge funds	United States
1275	Scott Farquhar	$1.4 B	37	software	Australia
1275	Frank Fertitta, III.	$1.4 B	54	casinos, Ultimate Fighting Championship	United States
1275	Lorenzo Fertitta	$1.4 B	47	casinos, Ultimate Fighting Championship	United States
1275	Robert Fisher	$1.4 B	63	Gap	United States
1275	William Fisher	$1.4 B	59	Gap	United States
1275	Mario Gabelli	$1.4 B	74	money management	United States
1275	Gao Tianguo	$1.4 B	65	real estate, finance	China
1275	Alan Gerry	$1.4 B	87	cable television	United States
1275	Balkrishan Goenka	$1.4 B	50	textiles	India
1275	Jonathan Gray	$1.4 B	46	investments	United States
1275	Jeffrey Gundlach	$1.4 B	58	investments	United States
1275	Stelios Haji-Ioannou	$1.4 B	49	EasyJet	Cyprus
1275	Saad Hariri	$1.4 B	46	construction, investments	Lebanon
1275	Gerry Harvey	$1.4 B	77	retail	Australia
1275	Timothy Headington	$1.4 B	66	oil & gas, investments	United States
1275	Hans-Werner Hector	$1.4 B	76	SAP	Germany
1275	William Heinecke	$1.4 B	68	hotels	Thailand
1275	B. Wayne Hughes, Jr.	$1.4 B	56	storage facilities	United States
1275	Hamilton James	$1.4 B	65	investments	United States
1275	Jiang Wei	$1.4 B	55	pharmaceuticals	China
1275	Anton Kathrein, Jr.	$1.4 B	32	antennas	Germany
1275	Danil Khachaturov	$1.4 B	45	insurance, banking, real estate	Russia
1275	Pyotr Kondrashev	$1.4 B	67	fertilizers	Russia
1275	Lam Kong	$1.4 B	52	pharmaceuticals	China
1275	Eric Lefkofsky	$1.4 B	47	Groupon	United States
1275	Angela Leong	$1.4 B	55	casinos	Hong Kong
1275	Li Wa	$1.4 B	51	real estate	Hong Kong
1275	Liao Long-Shing	$1.4 B	64	petrochemicals	Taiwan
1275	David Lichtenstein	$1.4 B	55	real estate	United States
1275	Suhon Lin	$1.4 B	88	petrochemicals	Taiwan
1275	Anatoly Lomakin	$1.4 B	64	fertilizers	Russia
1275	Pier Luigi Loro Piana	$1.4 B	65	fashion	Italy
1275	Ma Xingtian	$1.4 B	47	pharmaceuticals	China
1275	Rudolf Maag	$1.4 B	70	medical devices	Switzerland
1275	Gary Magness	$1.4 B	62	cable TV, investments	United States
1275	Yasseen Mansour	$1.4 B	55	diversified	Egypt
1275	Billy Joe (Red) McCombs	$1.4 B	89	real estate, oil, cars	United States
1275	Gail Miller	$1.4 B	73	basketball, car dealers	United States
1275	Massimo Moratti	$1.4 B	71	oil refinery	Italy
1275	Nelson Peltz	$1.4 B	74	investments	United States
1275	Roger Penske	$1.4 B	79	cars	United States
1275	Florentino Perez	$1.4 B	69	construction	Spain
1275	Julio Ponce	$1.4 B	71	fertilizer	Chile
1275	Nicholas Pritzker, II.	$1.4 B	73	hotels, investments	United States
1275	Horst Julius Pudwill	$1.4 B	72	manufacturing	Germany
1275	Theodore Rachmat	$1.4 B	73	diversified	Indonesia
1275	Rodney Sacks	$1.4 B	67	energy drinks	United States
1275	T. Denny Sanford	$1.4 B	81	banking, credit cards	United States
1275	Fayez Sarofim	$1.4 B	88	money management	United States
1275	Dieter Schaub	$1.4 B	79	media	Germany
1275	Shao Genhuo	$1.4 B	51	agribusiness	China
1275	Shin Dong-Bin	$1.4 B	61	retailing	South Korea
1275	Petter Stordalen	$1.4 B	54	hotels	Norway
1275	Frank Stronach	$1.4 B	84	auto parts	Canada
1275	Alain Taravella	$1.4 B	69	real estate	France
1275	Tsai Cheng-da	$1.4 B	-	finance	Taiwan
1275	Tseng Shin-Yi	$1.4 B	89	petrochemicals	Taiwan
1275	Tung Chee Chen	$1.4 B	74	shipping	Hong Kong
1275	Sandro Veronesi	$1.4 B	57	fashion retailer	Italy
1275	Wang Jiufang	$1.4 B	53	real estate	China
1275	Wei Ing-Chou	$1.4 B	64	food, beverages	Taiwan
1275	Wei Yin-Chun	$1.4 B	60	food, beverages	Taiwan
1275	Wei Yin-Heng	$1.4 B	58	food, beverages	Taiwan
1275	Wei Ying-Chiao	$1.4 B	62	food, beverages	Taiwan
1275	Wong Kwong Yu	$1.4 B	47	retail	China
1275	Wong Luen Hei	$1.4 B	55	home building materials	China
1275	Wu Jianshu	$1.4 B	53	auto parts	Hong Kong
1275	Yuan Yafei	$1.4 B	53	retailing, investments	China
1275	Zhang Changhong	$1.4 B	58	financial information service	China
1275	Zhou Yifeng	$1.4 B	48	chemicals	China
1367	Radhe Shyam Agarwal	$1.3 B	71	consumer goods	India
1367	Aziz Akhannouch	$1.3 B	56	petroleum, diversified	Morocco
1367	An Kang	$1.3 B	68	pharmaceuticals	China
1367	Edmund Ansin	$1.3 B	80	television	United States
1367	Mori Arkin	$1.3 B	64	pharmaceuticals	Israel
1367	Mehmet Aydinlar	$1.3 B	60	hospitals	Turkey
1367	Sezai Bacaksiz	$1.3 B	67	diversified	Turkey
1367	Miriam Baumann-Blocher	$1.3 B	42	chemicals	Switzerland
1367	Anne Beaufour	$1.3 B	53	pharmaceuticals	France
1367	Henri Beaufour	$1.3 B	51	pharmaceuticals	France
1367	Henadiy Boholyubov	$1.3 B	55	banking, investments	Ukraine
1367	David Booth	$1.3 B	71	mutual funds	United States
1367	Anand Burman	$1.3 B	64	consumer goods	India
1367	Ahmet Calik	$1.3 B	58	energy, media, banking	Turkey
1367	Steve Case	$1.3 B	58	AOL	United States
1367	Herb Chambers	$1.3 B	75	car dealerships	United States
1367	C.F. Chan	$1.3 B	98	hotels	Hong Kong
1367	Chang Pyung-Soon	$1.3 B	65	educational services	South Korea
1367	Chao Teng-Hsiung	$1.3 B	73	real estate	Taiwan
1367	Chen Baozhen	$1.3 B	73	internet	China
1367	Choo Chong Ngen	$1.3 B	63	hotels	Singapore
1367	Turgay Ciner	$1.3 B	60	diversified	Turkey
1367	Jacques D'Amours	$1.3 B	60	retail	Canada
1367	Gustavo Denegri	$1.3 B	81	medical tests	Italy
1367	Mark Dixon	$1.3 B	57	office real estate	United Kingdom
1367	Domenico Dolce	$1.3 B	58	Dolce & Gabbana	Italy
1367	John Edson	$1.3 B	84	leisure craft	United States
1367	N. Murray Edwards	$1.3 B	57	oil & gas	Canada
1367	Bob Ell	$1.3 B	72	property	Australia
1367	Marcel Erni	$1.3 B	52	private equity	Switzerland
1367	Gabriel Escarrer	$1.3 B	81	hotels	Spain
1367	Martha Ford	$1.3 B	91	Ford Motor	United States
1367	Andrew Forrest	$1.3 B	55	mining	Australia
1367	Walter Frey	$1.3 B	73	Emil Frey Group	Switzerland
1367	Stefano Gabbana	$1.3 B	54	luxury goods	Italy
1367	Alfred Gantner	$1.3 B	48	private equity	Switzerland
1367	Reinold Geiger	$1.3 B	69	beauty products	Austria
1367	Anne Gittinger	$1.3 B	81	Nordstrom department stores	United States
1367	Harsh Goenka	$1.3 B	59	diversified	India
1367	Radhe Shyam Goenka	$1.3 B	70	consumer goods	India
1367	Polys Haji-Ioannou	$1.3 B	56	EasyJet	Cyprus
1367	Yusuf Hamied	$1.3 B	80	pharmaceuticals	India
1367	Jonathan Harmsworth	$1.3 B	49	publishing	United Kingdom
1367	Jost Hellmann	$1.3 B	63	logistics	Germany
1367	Klaus Hellmann	$1.3 B	67	logistics	Germany
1367	Lutz Mario Helmig	$1.3 B	70	medical facilities	Germany
1367	Asok Kumar Hiranandani	$1.3 B	62	real estate	Singapore
1367	Hua Yong	$1.3 B	53	software	China
1367	Huang Li	$1.3 B	53	infrared imaging systems	China
1367	Huang Qisen	$1.3 B	51	real estate	China
1367	Huang Zhenda	$1.3 B	69	construction	China
1367	Hung Yau Lit	$1.3 B	55	intimate wear	China
1367	Keeree Kanjanapas	$1.3 B	67	transportation	Thailand
1367	Johannes Karcher	$1.3 B	66	vacuums/cleaning products	Germany
1367	Kei Hoi Pang	$1.3 B	51	real estate	China
1367	Sidney Kimmel	$1.3 B	88	retail	United States
1367	Seth Klarman	$1.3 B	59	investments	United States
1367	Ihor Kolomoyskyy	$1.3 B	53	banking, investments	Ukraine
1367	Guy Laliberte	$1.3 B	57	Cirque du Soleil	Canada
1367	Lee Hwa-Kyung	$1.3 B	60	snack foods	South Korea
1367	James Leininger	$1.3 B	71	medical products	United States
1367	Li Weiwei	$1.3 B	40	online games	China
1367	Liang Guangwei	$1.3 B	53	batteries, mini motors	China
1367	Lin Ming-Hsiung	$1.3 B	67	retail	Taiwan
1367	Scott Lin	$1.3 B	-	optical components	Taiwan
1367	Lu Di	$1.3 B	-	drones	China
1367	Miao Shouliang	$1.3 B	62	real estate, diversified	China
1367	Gian Marco Moratti	$1.3 B	80	oil refinery	Italy
1367	Ou Zongrong	$1.3 B	53	real estate	China
1367	Nihat Ozdemir	$1.3 B	66	diversified	Turkey
1367	Markus Persson	$1.3 B	37	Minecraft	Sweden
1367	Erika Pohl-Stroeher	$1.3 B	97	hair products	Germany
1367	Jerry Reinsdorf	$1.3 B	80	sports teams	United States
1367	Ren Jianhua	$1.3 B	60	kitchen appliances	China
1367	J. Joe Ricketts	$1.3 B	75	TD Ameritrade	United States
1367	Brian Roberts	$1.3 B	57	Comcast	United States
1367	Fernando Roig	$1.3 B	69	supermarkets	Spain
1367	Alexander Rovt	$1.3 B	64	fertilizer, real estate	United States
1367	Lily Safra	$1.3 B	79	banking	Monaco
1367	Thomas Sandell	$1.3 B	55	hedge funds	Sweden
1367	Leonard Schleifer	$1.3 B	64	pharmaceuticals	United States
1367	Hilton Schlosberg	$1.3 B	64	Monster energy drinks	United Kingdom
1367	Shao Zhongyi	$1.3 B	48	soybean trading	China
1367	Djoko Susanto	$1.3 B	66	supermarkets	Indonesia
1367	Sukanto Tanoto	$1.3 B	67	diversified	Indonesia
1367	Wilma Tisch	$1.3 B	89	diversified	United States
1367	Kenny Troutt	$1.3 B	68	telecommunications	United States
1367	Wim Van Der Leegte	$1.3 B	69	manufacturing	Netherlands
1367	Thongma Vijitpongpun	$1.3 B	58	real estate	Thailand
1367	Manuel Villar	$1.3 B	67	Real estate	Philippines
1367	Heloise Waislitz	$1.3 B	54	packaging	Australia
1367	Wang Chaobin	$1.3 B	61	real estate	China
1367	Wang Han	$1.3 B	29	airline, diversified	China
1367	Urs Wietlisbach	$1.3 B	55	private equity	Switzerland
1367	Dan Wilks	$1.3 B	60	natural gas	United States
1367	Farris Wilks	$1.3 B	64	natural gas	United States
1367	Evan Williams	$1.3 B	44	Twitter	United States
1367	Wu Gang	$1.3 B	40	money management	China
1367	Wu Xushun	$1.3 B	68	internet, auto parts	China
1367	Elaine Wynn	$1.3 B	74	casinos, hotels	United States
1367	Takao Yasuda	$1.3 B	67	retail	Japan
1367	Yuan Fugen	$1.3 B	66	metal processing	China
1367	Zhang Bangxin	$1.3 B	37	after school tutoring	China
1367	Zhang Kaiyuan	$1.3 B	62	gas desulfurization	China
1367	Zhang Zhangsun	$1.3 B	60	real estate	China
1367	Zheng Xiaodong	$1.3 B	52	manufacturing	China
1367	Zhu Chongyun	$1.3 B	52	apparel retailer	China
1367	Susanne Zimmermann von Siefart 	$1.3 B	60	vacuums/home cleaning products	Germany
1367	Ahmet Nazif Zorlu	$1.3 B	72	diversified	Turkey
1476	Aras Agalarov	$1.2 B	61	real estate	Russia
1476	Ali Ibrahim Agaoglu	$1.2 B	62	construction	Turkey
1476	Anil Agarwal	$1.2 B	63	mining, metals	India
1476	Maurice Alter	$1.2 B	91	real estate	Australia
1476	Alexandra Andresen	$1.2 B	20	investments	Norway
1476	Katharina Andresen	$1.2 B	21	investments	Norway
1476	Roberto Angelini Rossi	$1.2 B	68	forestry, mining	Chile
1476	Vasily Anisimov	$1.2 B	65	real estate	Russia
1476	Ao Xiaoqiang	$1.2 B	52	electrical equipment	China
1476	Naruatsu Baba	$1.2 B	38	smartphone games	Japan
1476	Binny Bansal	$1.2 B	34	flipkart	India
1476	Sachin Bansal	$1.2 B	35	flipkart	India
1476	Leonid Boguslavsky	$1.2 B	65	venture capital	Russia
1476	Oleg Boyko	$1.2 B	52	diversified	Russia
1476	Anna Maria Braun	$1.2 B	38	medical technology	Germany
1476	Johanna Braun	$1.2 B	37	medical technology	Germany
1476	Karl Friedrich Braun	$1.2 B	34	medical technology	Germany
1476	Ludwig Theodor Braun	$1.2 B	27	medical technology	Germany
1476	Nicola Bulgari	$1.2 B	75	luxury goods	Italy
1476	Paolo Bulgari	$1.2 B	79	luxury goods	Italy
1476	Jean Burelle	$1.2 B	78	automotive systems	France
1476	Laurent Burelle	$1.2 B	67	automotive systems	France
1476	Cai Xiaoru	$1.2 B	37	electronic components	China
1476	Cao Kejian	$1.2 B	54	air compressors, drills	China
1476	Chen Qingzhou	$1.2 B	51	communications equipment	China
1476	Chen Yansheng	$1.2 B	46	toys, entertainment	China
1476	Cheng Xianfeng	$1.2 B	48	pharmaceuticals	China
1476	Marc Coucke	$1.2 B	51	pharmaceuticals	Belgium
1476	Jim Davis	$1.2 B	56	staffing & recruiting firm	United States
1476	Maria Del Pino y Calvo-Sotelo	$1.2 B	60	construction	Spain
1476	Andrea Della Valle	$1.2 B	51	shoes	Italy
1476	K. Dinesh	$1.2 B	62	software services	India
1476	Sefik Yilmaz Dizdar	$1.2 B	78	Fashion and Retail	Turkey
1476	Alexander Dzhaparidze	$1.2 B	61	oil services	Russia
1476	Martin Ebner	$1.2 B	71	investments	Switzerland
1476	Charles Edelstenne	$1.2 B	78	aviation	France
1476	Gary Fegel	$1.2 B	43	commodities trading	Switzerland
1476	Gleb Fetisov	$1.2 B	50	investments	Russia
1476	Abhay Firodia	$1.2 B	72	automobiles	India
1476	Paul Foster	$1.2 B	59	oil refining	United States
1476	Sameer Gehlaut	$1.2 B	42	finance	India
1476	Geng Jianming	$1.2 B	54	real estate	China
1476	Dan Gertler	$1.2 B	43	mining	Israel
1476	Serge Godin	$1.2 B	67	Information Technology	Canada
1476	Ayman Hariri	$1.2 B	38	construction, investments	Lebanon
1476	Fahd Hariri	$1.2 B	36	construction, investments	Lebanon
1476	Alfredo Harp Helu	$1.2 B	72	banking	Mexico
1476	Reed Hastings	$1.2 B	56	Netflix	United States
1476	Richard Hayne	$1.2 B	69	Urban Outfitters	United States
1476	Lawrence Ho	$1.2 B	39	casinos	Hong Kong
1476	Stewart Horejsi	$1.2 B	79	Berkshire Hathaway	United States
1476	Huang Chulong	$1.2 B	58	real estate	Canada
1476	Hur Young-In	$1.2 B	67	bakeries/fast-food outlets	South Korea
1476	Hal Jackman	$1.2 B	84	insurance, investments	Canada
1476	Devendra Jain	$1.2 B	87	chemicals	India
1476	Stephen Jarislowsky	$1.2 B	91	money management	Canada
1476	T.S. Kalyanaraman	$1.2 B	69	jewelry	India
1476	Andrei Kosogov	$1.2 B	55	oil, banking, telecom	Russia
1476	Michael Krasny	$1.2 B	63	retail	United States
1476	Lev Kvetnoi	$1.2 B	51	cement, airport	Russia
1476	William Lauder	$1.2 B	56	Estee Lauder	United States
1476	Peter Leibinger	$1.2 B	50	machine tools	Germany
1476	Regine Leibinger	$1.2 B	54	machine tools	Germany
1476	Li Fucheng	$1.2 B	71	agribusiness	China
1476	Liu Changqing	$1.2 B	64	banking equipment	China
1476	Cameron Mackintosh	$1.2 B	70	Musical Theater	United Kingdom
1476	Kishore Mariwala	$1.2 B	81	consumer goods	India
1476	John Martin	$1.2 B	65	pharmaceuticals	United States
1476	Willy Michel	$1.2 B	70	medical devices	Switzerland
1476	Boris Mints	$1.2 B	58	real estate	Russia
1476	Charles Munger	$1.2 B	93	Berkshire Hathaway	United States
1476	Ni Zhaoxing	$1.2 B	61	real estate	China
1476	Bruce Nordstrom	$1.2 B	83	department stores	United States
1476	Pierre Papillaud	$1.2 B	81	water	France
1476	Victor Pinchuk	$1.2 B	56	steel pipes, diversified	Ukraine
1476	Conrad Prebys	$1.2 B	83	real estate	United States
1476	Michael Price	$1.2 B	64	investments	United States
1476	Daniel Roullier	$1.2 B	80	animal feed	France
1476	Ruan Shuilong	$1.2 B	81	chemicals	China
1476	Alan Rydge	$1.2 B	64	entertainment	Australia
1476	Sheryl Sandberg	$1.2 B	47	Facebook	United States
1476	Monika Schoeller	$1.2 B	78	publishing	Germany
1476	Kirill Shamalov	$1.2 B	34	petrochemicals	Russia
1476	Shin Dong-Joo	$1.2 B	62	retailing	South Korea
1476	Evgeny (Eugene) Shvidler	$1.2 B	52	oil & gas, investments	United States
1476	Peter Sperling	$1.2 B	57	education	United States
1476	Michael Steinhardt	$1.2 B	76	finance	United States
1476	Su Weizhong	$1.2 B	48	oil, fertilizers	China
1476	Sun Shoukuan	$1.2 B	67	metals. coal	China
1476	Pavel Tykac	$1.2 B	52	coal mine	Czech Republic
1476	Stefan von Holtzbrinck	$1.2 B	53	publishing	Germany
1476	Wang Junjin	$1.2 B	48	regional airline	China
1476	Wen Jianping	$1.2 B	54	sewage treatment	China
1476	Horst Wortmann	$1.2 B	75	footwear	Germany
1476	Wu Yiling	$1.2 B	67	pharmaceuticals	China
1476	Yang Keng	$1.2 B	56	real estate	China
1476	Yu Minhong	$1.2 B	55	education	China
1476	Zhang Zhirong	$1.2 B	48	real estate, shipbuilding	Hong Kong
1476	Zhao Xiaoqiang	$1.2 B	49	fashion, entertainment	China
1476	Zheng Jianjiang	$1.2 B	56	electrical equipment	China
1476	Zhong Sheng Jian	$1.2 B	58	real estate	Singapore
1577	Abdul Rasyid	$1.1 B	59	timber	Indonesia
1577	Alberto Alcocer	$1.1 B	74	investments	Spain
1577	Bill Alfond	$1.1 B	68	shoes	United States
1577	Peter Alfond	$1.1 B	64	shoes	United States
1577	Susan Alfond	$1.1 B	71	shoes	United States
1577	Ted Alfond	$1.1 B	72	shoes	United States
1577	Joy Alukkas	$1.1 B	60	Jewelry	India
1577	Chirayu Amin	$1.1 B	70	pharmaceuticals	India
1577	Ayman Asfari	$1.1 B	58	oil services	United Kingdom
1577	Thomas Bailey	$1.1 B	80	money management	United States
1577	Achal Bakeri	$1.1 B	56	air coolers	India
1577	Elena Baturina	$1.1 B	53	construction	Russia
1577	Eduardo Belmont Anderson	$1.1 B	71	cosmetics	Peru
1577	Aldo Bensadoun	$1.1 B	78	shoes	Canada
1577	William Berkley	$1.1 B	70	insurance	United States
1577	Albert Berner	$1.1 B	81	fasteners	Germany
1577	Sara Blakely	$1.1 B	45	Spanx	United States
1577	John Bloor	$1.1 B	73	real estate, manufacturing	United Kingdom
1577	Charles Brandes	$1.1 B	73	money management	United States
1577	Ana Maria Brescia Cafferata	$1.1 B	92	mining, banking	Peru
