Rank	Name	Net Worth	Age	Source	Country of Citizenship
1577	Dorrance Hamilton	$1.1 B	88	Campbell Soup	United States
1577	Jane Lauder	$1.1 B	44	cosmetics	United States
1577	Lee Myung-Hee	$1.1 B	73	retail	South Korea
1577	Nicola Leibinger-Kammueller	$1.1 B	57	inherited	Germany
1577	Li Tan	$1.1 B	52	pharmaceuticals	China
1577	Maria Helena Moraes Scripilliti	$1.1 B	86	diversified	Brazil
1577	Susanne Veltins	$1.1 B	57	beer	Germany
1577	Zhai Meiqin	$1.1 B	53	conglomerate	Hong Kong
1694	Ilona Herlin	$1 B	52	elevators, escalators	Finland
1694	Hong Ra-Hee	$1 B	71	Samsung	South Korea
1694	Nancy Lerner	$1 B	56	finance	United States
1694	Norma Lerner	$1 B	80	finance	United States
1694	Martha MacMillan	$1 B	65	Cargill	United States
1694	Marina Prada	$1 B	-	Prada	Italy
1694	Sudthida Ratanarak	$1 B	-	media, real estate	Thailand
1694	Andrea Reimann-Ciardelli	$1 B	60	consumer goods	United States
1694	Deniz Sahenk	$1 B	71	bank, media	Turkey
1694	Jane Yan	$1 B	47	software	China
1694	Fatma Yazici	$1 B	43	Diversified	Turkey
